tick,pop,avg_dist_to_food,agents_at_food
385,200,56.1,0
386,200,56.1,0
387,200,56.1,0
388,200,56.1,0
389,200,56.1,0
390,200,56.1,0
391,200,56.1,0
392,200,56.1,0
393,200,56.1,0
394,200,56.1,0
395,199,56.0,0
396,200,56.0,0
397,200,56.0,0
398,199,56.2,0
399,200,56.1,0
400,200,56.0,0
401,200,56.0,0
402,199,56.1,0
403,200,56.3,0
404,200,56.3,0
405,200,56.3,0
406,200,56.3,0
407,200,56.3,0
408,200,56.3,0
409,200,56.3,0
410,199,56.3,0
411,200,56.5,0
412,200,56.5,0
413,200,56.5,0
414,200,56.5,0
415,200,56.5,0
416,200,56.5,0
417,199,56.7,0
418,200,56.7,0
419,200,56.7,0
420,200,56.7,0
421,200,56.7,0
422,200,56.7,0
423,200,56.7,0
424,200,56.7,0
425,200,56.7,0
426,200,56.7,0
427,200,56.7,0
428,200,56.7,0
429,200,56.7,0
430,200,56.7,0
431,200,56.7,0
432,200,56.7,0
433,200,56.7,0
434,200,56.7,0
435,200,56.7,0
436,200,56.7,0
437,200,56.7,0
438,200,56.7,0
439,200,56.7,0
440,200,56.7,0
441,200,56.7,0
442,200,56.7,0
443,200,56.7,0
444,200,56.7,0
445,200,56.7,0
446,200,56.7,0
447,200,56.7,0
448,200,56.7,0
449,200,56.7,0
450,199,56.7,0
451,200,56.5,0
452,200,56.5,0
453,200,56.5,0
454,200,56.5,0
455,199,56.5,0
456,200,56.6,0
457,200,56.6,0
458,200,56.6,0
459,200,56.6,0
460,198,56.5,0
461,200,56.2,0
462,200,56.2,0
463,199,56.1,0
464,200,56.1,0
465,200,56.1,0
466,200,56.1,0
467,200,56.1,0
468,200,56.1,0
469,200,56.1,0
470,200,56.1,0
471,200,56.1,0
472,199,56.0,0
473,200,56.0,0
474,200,56.0,0
475,200,56.0,0
476,200,56.0,0
477,200,56.0,0
478,200,56.0,0
479,200,56.0,0
480,200,56.0,0
481,200,56.0,0
482,200,56.0,0
483,200,56.0,0
484,200,56.0,0
485,200,56.0,0
486,199,55.9,0
487,200,55.6,0
488,200,55.6,0
489,200,55.6,0
490,200,55.6,0
491,200,55.6,0
492,200,55.6,0
493,200,55.6,0
494,200,55.6,0
495,200,55.6,0
496,200,55.6,0
497,200,55.6,0
498,200,55.6,0
