tick,pop_capital,pop_labor,nouveaux_riches,avg_innovation,contracts
671,20,180,0,0.580,0
672,20,180,0,0.580,0
673,20,180,0,0.580,0
674,20,180,0,0.580,0
675,20,180,0,0.580,0
676,20,180,0,0.580,0
677,20,180,0,0.580,0
678,20,180,0,0.580,0
679,20,180,0,0.580,0
680,20,180,0,0.580,0
681,20,180,0,0.580,0
682,20,180,0,0.580,0
683,20,180,0,0.580,0
684,20,180,0,0.580,0
685,20,180,0,0.580,0
686,20,180,0,0.580,0
687,20,180,0,0.580,0
688,20,180,0,0.580,0
689,20,180,0,0.580,0
690,20,180,0,0.580,0
691,20,180,0,0.580,0
692,20,180,0,0.580,0
693,20,180,0,0.580,0
694,20,180,0,0.580,0
695,20,180,0,0.580,0
696,20,180,0,0.580,0
697,20,180,0,0.580,0
698,20,180,0,0.580,0
699,20,180,0,0.580,0
700,20,180,0,0.580,0
701,20,180,0,0.580,0
702,20,180,0,0.580,0
703,20,180,0,0.580,0
704,20,180,0,0.580,0
705,20,180,0,0.580,0
706,20,180,0,0.580,0
707,20,180,0,0.580,0
708,20,180,0,0.580,0
709,20,180,0,0.580,0
710,20,180,0,0.580,0
711,20,180,0,0.580,0
712,20,180,0,0.580,0
713,20,180,0,0.580,0
714,20,180,0,0.580,0
715,20,180,0,0.580,0
716,20,180,0,0.580,0
717,20,180,0,0.580,0
718,20,180,0,0.580,0
719,20,180,0,0.580,0
720,20,180,0,0.580,0
721,20,180,0,0.580,0
722,20,180,0,0.580,0
723,20,180,0,0.580,0
724,20,180,0,0.580,0
725,20,180,0,0.580,0
726,20,180,0,0.580,0
727,20,180,0,0.580,0
728,20,180,0,0.580,0
729,20,180,0,0.580,0
730,20,180,0,0.580,0
731,20,180,0,0.580,0
732,20,180,0,0.580,0
733,20,180,0,0.580,0
734,20,180,0,0.580,0
735,20,180,0,0.580,0
736,20,180,0,0.580,0
737,20,180,0,0.580,0
738,20,180,0,0.580,0
739,20,180,0,0.580,0
740,20,180,0,0.580,0
741,20,180,0,0.580,0
742,20,180,0,0.580,0
743,20,180,0,0.580,0
744,20,180,0,0.580,0
745,20,180,0,0.580,0
746,20,180,0,0.580,0
747,20,180,0,0.580,0
748,20,180,0,0.580,0
749,20,180,0,0.580,0
750,20,180,0,0.580,0
751,20,180,0,0.580,0
752,20,180,0,0.580,0
753,20,180,0,0.580,0
754,20,180,0,0.580,0
755,20,180,0,0.580,0
756,20,180,0,0.580,0
757,20,180,0,0.580,0
758,20,180,0,0.580,0
759,20,180,0,0.580,0
760,20,180,0,0.580,0
761,20,180,0,0.580,0
762,20,180,0,0.580,0
763,20,180,0,0.580,0
764,20,180,0,0.580,0
765,20,180,0,0.580,0
766,20,180,0,0.580,0
767,20,180,0,0.580,0
768,20,180,0,0.580,0
769,20,180,0,0.580,0
770,20,180,0,0.580,0
771,20,180,0,0.580,0
772,20,180,0,0.580,0
773,20,180,0,0.580,0
774,20,180,0,0.580,0
775,20,180,0,0.580,0
776,20,180,0,0.580,0
777,20,180,0,0.580,0
778,20,180,0,0.580,0
779,20,180,0,0.580,0
780,20,180,0,0.580,0
781,20,180,0,0.580,0
782,20,180,0,0.580,0
783,20,180,0,0.580,0
784,20,180,0,0.580,0
785,20,180,0,0.580,0
786,20,180,0,0.580,0
787,20,180,0,0.580,0
788,20,180,0,0.580,0
789,20,180,0,0.580,0
790,20,180,0,0.580,0
791,20,180,0,0.580,0
792,20,180,0,0.580,0
793,20,180,0,0.580,0
794,20,180,0,0.580,0
795,20,180,0,0.580,0
796,20,180,0,0.580,0
797,20,180,0,0.580,0
798,20,180,0,0.580,0
799,20,180,0,0.580,0
800,20,180,0,0.580,0
801,20,180,0,0.580,0
802,20,180,0,0.580,0
803,20,180,0,0.580,0
804,20,180,0,0.580,0
805,20,180,0,0.580,0
806,20,180,0,0.580,0
807,20,180,0,0.580,0
808,20,180,0,0.580,0
