tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
402,198,20,0.9817,0.4072,0.8672,0.5181
403,197,20,0.9820,0.4053,0.8672,0.5181
404,195,20,0.9853,0.4100,0.8672,0.5181
405,199,20,0.9860,0.4157,0.8672,0.5181
406,198,20,0.9845,0.4136,0.8672,0.5181
407,197,20,0.9838,0.4111,0.8672,0.5181
408,194,20,0.9803,0.4122,0.8672,0.5181
409,196,20,0.9774,0.4095,0.8672,0.5181
410,194,20,0.9760,0.4047,0.8672,0.5181
411,196,20,0.9746,0.4026,0.8672,0.5181
412,195,20,0.9735,0.3979,0.8672,0.5181
413,195,20,0.9764,0.4006,0.8672,0.5181
414,195,20,0.9720,0.3925,0.8672,0.5181
415,197,20,0.9779,0.3941,0.8672,0.5181
416,194,20,0.9837,0.3968,0.8672,0.5181
417,196,20,0.9870,0.4036,0.8672,0.5181
418,199,20,0.9865,0.4031,0.8672,0.5181
419,198,20,0.9871,0.4020,0.8672,0.5181
420,199,20,0.9848,0.4002,0.8672,0.5181
421,195,20,0.9862,0.4003,0.8672,0.5181
422,195,20,0.9864,0.3952,0.8672,0.5181
423,197,20,0.9845,0.3910,0.8672,0.5181
424,197,20,0.9882,0.3869,0.8672,0.5181
425,195,20,0.9878,0.3862,0.8672,0.5181
426,196,20,0.9870,0.3860,0.8672,0.5181
427,195,20,0.9931,0.3874,0.8672,0.5181
428,196,20,0.9928,0.3875,0.8672,0.5181
429,197,20,0.9948,0.3850,0.8672,0.5181
430,198,20,0.9919,0.3803,0.8672,0.5181
431,196,20,0.9897,0.3811,0.8672,0.5181
432,193,20,0.9805,0.3834,0.8672,0.5181
433,199,20,0.9806,0.3871,0.8672,0.5181
434,198,20,0.9854,0.3894,0.8672,0.5181
435,198,20,0.9825,0.3918,0.8672,0.5181
436,193,20,0.9843,0.3952,0.8672,0.5181
437,194,20,0.9920,0.4054,0.8672,0.5181
438,198,20,0.9940,0.4002,0.8672,0.5181
439,197,20,0.9945,0.4010,0.8672,0.5181
440,198,20,0.9924,0.3991,0.8672,0.5181
441,195,20,0.9933,0.3971,0.8672,0.5181
442,199,20,0.9969,0.3995,0.8672,0.5181
443,195,20,0.9987,0.3971,0.8672,0.5181
444,199,20,1.0002,0.3973,0.8672,0.5181
445,197,20,0.9962,0.3918,0.8672,0.5181
446,197,20,0.9987,0.3922,0.8672,0.5181
447,195,20,1.0019,0.3946,0.8672,0.5181
448,196,20,1.0057,0.3989,0.8672,0.5181
449,197,20,1.0108,0.3984,0.8672,0.5181
450,197,20,1.0140,0.3996,0.8672,0.5181
451,192,20,1.0209,0.3985,0.8672,0.5181
452,197,20,1.0230,0.4000,0.8672,0.5181
453,196,20,1.0202,0.3991,0.8672,0.5181
454,195,20,1.0166,0.3970,0.8672,0.5181
455,199,20,1.0138,0.3938,0.8672,0.5181
456,199,20,1.0127,0.3932,0.8672,0.5181
457,199,20,1.0128,0.3928,0.8672,0.5181
458,197,20,1.0095,0.3868,0.8672,0.5181
459,199,20,1.0118,0.3878,0.8672,0.5181
460,197,20,1.0167,0.3893,0.8672,0.5181
461,194,20,1.0148,0.3893,0.8672,0.5181
462,198,20,1.0206,0.3907,0.8672,0.5181
463,197,20,1.0193,0.3893,0.8672,0.5181
464,198,20,1.0193,0.3859,0.8672,0.5181
465,193,20,1.0202,0.3843,0.8672,0.5181
466,194,20,1.0237,0.3879,0.8672,0.5181
467,198,20,1.0171,0.3853,0.8672,0.5181
468,196,20,1.0211,0.3900,0.8672,0.5181
469,198,20,1.0194,0.3908,0.8672,0.5181
470,196,20,1.0199,0.3877,0.8672,0.5181
471,196,20,1.0096,0.3823,0.8672,0.5181
472,197,20,1.0101,0.3775,0.8672,0.5181
473,195,20,1.0041,0.3795,0.8672,0.5181
474,198,20,1.0058,0.3792,0.8672,0.5181
475,199,20,1.0061,0.3798,0.8672,0.5181
476,198,20,1.0075,0.3789,0.8672,0.5181
477,195,20,1.0041,0.3764,0.8672,0.5181
478,198,20,1.0035,0.3765,0.8672,0.5181
479,198,20,1.0039,0.3763,0.8672,0.5181
480,193,20,1.0111,0.3778,0.8672,0.5181
481,197,20,1.0129,0.3806,0.8672,0.5181
482,198,20,1.0123,0.3824,0.8672,0.5181
483,198,20,1.0160,0.3823,0.8672,0.5181
484,198,20,1.0166,0.3804,0.8672,0.5181
485,195,20,1.0122,0.3745,0.8672,0.5181
486,195,20,1.0131,0.3777,0.8672,0.5181
487,197,20,1.0128,0.3785,0.8672,0.5181
488,197,20,1.0149,0.3808,0.8672,0.5181
489,195,20,1.0182,0.3860,0.8672,0.5181
490,197,20,1.0163,0.3852,0.8672,0.5181
491,198,20,1.0192,0.3866,0.8672,0.5181
492,198,20,1.0200,0.3844,0.8672,0.5181
