tick,pop,avg_energy,avg_cannibalism,cannibal_acts
1919,198,182.8,0.0767,0
1920,196,186.5,0.0777,0
1921,199,190.2,0.0776,0
1922,199,189.5,0.0776,0
1923,199,188.9,0.0779,0
1924,197,190.3,0.0792,0
1925,200,191.5,0.0800,0
1926,199,189.5,0.0803,0
1927,198,189.8,0.0797,0
1928,199,190.7,0.0800,0
1929,198,191.0,0.0801,0
1930,199,191.8,0.0808,0
1931,198,192.2,0.0810,0
1932,199,193.0,0.0808,0
1933,199,192.4,0.0808,0
1934,198,192.8,0.0812,0
1935,199,193.6,0.0816,0
1936,198,194.0,0.0813,0
1937,196,197.8,0.0819,0
1938,200,200.3,0.0822,0
1939,199,198.4,0.0821,0
1940,198,198.8,0.0822,0
1941,200,198.5,0.0823,0
1942,199,196.6,0.0826,0
1943,197,198.0,0.0823,0
1944,199,200.1,0.0833,0
1945,198,200.5,0.0839,0
1946,197,203.3,0.0831,0
1947,198,206.3,0.0831,0
1948,199,206.9,0.0839,0
1949,197,208.3,0.0857,0
1950,198,211.3,0.0862,0
1951,200,210.8,0.0862,0
1952,198,209.8,0.0860,0
1953,198,211.4,0.0860,0
1954,196,215.3,0.0860,0
1955,197,220.4,0.0865,0
1956,199,222.0,0.0870,0
1957,199,221.0,0.0872,0
1958,200,219.0,0.0875,0
1959,195,221.2,0.0874,0
1960,198,226.3,0.0887,0
1961,200,225.4,0.0889,0
1962,200,222.1,0.0889,0
1963,198,220.9,0.0887,0
1964,199,221.2,0.0883,0
1965,199,220.3,0.0884,0
1966,199,219.3,0.0890,0
1967,199,218.3,0.0890,0
1968,198,218.5,0.0885,0
1969,197,221.0,0.0890,0
1970,200,221.4,0.0896,0
1971,200,218.0,0.0896,0
1972,199,215.8,0.0899,0
1973,198,215.9,0.0904,0
1974,200,215.1,0.0902,0
1975,199,212.9,0.0905,0
1976,200,210.9,0.0904,0
1977,200,207.7,0.0904,0
1978,199,205.5,0.0906,0
1979,200,203.6,0.0903,0
1980,199,201.4,0.0903,0
1981,199,200.6,0.0903,0
1982,199,199.8,0.0906,0
1983,199,199.0,0.0901,0
1984,200,197.2,0.0901,0
1985,200,194.0,0.0901,0
1986,200,190.9,0.0901,0
1987,200,187.8,0.0901,0
1988,197,187.6,0.0899,0
1989,200,188.8,0.0904,0
1990,199,186.6,0.0904,0
1991,199,185.9,0.0906,0
1992,200,184.4,0.0907,0
1993,198,183.3,0.0906,0
1994,200,183.2,0.0899,0
1995,200,180.3,0.0899,0
1996,200,177.4,0.0899,0
1997,199,175.4,0.0895,0
1998,200,174.0,0.0894,0
1999,200,171.1,0.0894,0
2000,196,171.8,0.0907,0
