tick,pop_capital,pop_labor,nouveaux_riches,avg_innovation,contracts
589,20,180,0,0.573,0
590,20,180,0,0.573,0
591,20,180,0,0.573,0
592,20,180,0,0.573,0
593,20,180,0,0.573,0
594,20,180,0,0.573,0
595,20,180,0,0.573,0
596,20,180,0,0.573,0
597,20,180,0,0.573,0
598,20,180,0,0.573,0
599,20,180,0,0.573,0
600,20,180,0,0.573,0
601,20,180,0,0.573,0
602,20,180,0,0.573,0
603,20,180,0,0.573,0
604,20,180,0,0.573,0
605,20,180,0,0.573,0
606,20,180,0,0.573,0
607,20,180,0,0.573,0
608,20,180,0,0.573,0
609,20,180,0,0.573,0
610,20,180,0,0.573,0
611,20,180,0,0.573,0
612,20,180,0,0.573,0
613,20,180,0,0.573,0
614,20,180,0,0.573,0
615,20,180,0,0.573,0
616,20,180,0,0.573,0
617,20,180,0,0.573,0
618,20,180,0,0.573,0
619,20,180,0,0.573,0
620,20,180,0,0.573,0
621,20,180,0,0.573,0
622,20,180,0,0.573,0
623,20,180,0,0.573,0
624,20,180,0,0.573,0
625,20,180,0,0.573,0
626,20,180,0,0.573,0
627,20,180,0,0.573,0
628,20,180,0,0.573,0
629,20,180,0,0.573,0
630,20,180,0,0.573,0
631,20,180,0,0.573,0
632,20,180,0,0.573,0
633,20,180,0,0.573,0
634,20,180,0,0.573,0
635,20,180,0,0.573,0
636,20,180,0,0.573,0
637,20,180,0,0.573,0
638,20,180,0,0.573,0
639,20,180,0,0.573,0
640,20,180,0,0.573,0
641,20,180,0,0.573,0
642,20,180,0,0.573,0
643,20,180,0,0.573,0
644,20,180,0,0.573,0
645,20,180,0,0.573,0
646,20,180,0,0.573,0
647,20,180,0,0.573,0
648,20,180,0,0.573,0
649,20,180,0,0.573,0
650,20,180,0,0.573,0
651,20,180,0,0.573,0
652,20,180,0,0.573,0
653,20,180,0,0.573,0
654,20,180,0,0.573,0
655,20,180,0,0.573,0
656,20,180,0,0.573,0
657,20,180,0,0.573,0
658,20,180,0,0.573,0
659,20,180,0,0.573,0
660,20,180,0,0.573,0
661,20,180,0,0.573,0
662,20,180,0,0.573,0
663,20,180,0,0.573,0
664,20,180,0,0.573,0
665,20,180,0,0.573,0
666,20,180,0,0.573,0
667,20,180,0,0.573,0
668,20,180,0,0.573,0
669,20,180,0,0.573,0
670,20,180,0,0.573,0
671,20,180,0,0.573,0
672,20,180,0,0.573,0
673,20,180,0,0.573,0
674,20,180,0,0.573,0
675,20,180,0,0.573,0
676,20,180,0,0.573,0
677,20,180,0,0.573,0
678,20,180,0,0.573,0
679,20,180,0,0.573,0
680,20,180,0,0.573,0
681,20,180,0,0.573,0
682,20,180,0,0.573,0
683,20,180,0,0.573,0
684,20,180,0,0.573,0
685,20,180,0,0.573,0
686,20,180,0,0.573,0
687,20,180,0,0.573,0
688,20,180,0,0.573,0
689,20,180,0,0.573,0
690,20,180,0,0.573,0
691,20,180,0,0.573,0
692,20,180,0,0.573,0
693,20,180,0,0.573,0
694,20,180,0,0.573,0
695,20,180,0,0.573,0
696,20,180,0,0.573,0
697,20,180,0,0.573,0
698,20,180,0,0.573,0
699,20,180,0,0.573,0
700,20,180,0,0.573,0
701,20,180,0,0.573,0
702,20,180,0,0.573,0
703,20,180,0,0.573,0
704,20,180,0,0.573,0
705,20,180,0,0.573,0
706,20,180,0,0.573,0
707,20,180,0,0.573,0
708,20,180,0,0.573,0
709,20,180,0,0.573,0
710,20,180,0,0.573,0
711,20,180,0,0.573,0
712,20,180,0,0.573,0
713,20,180,0,0.573,0
714,20,180,0,0.573,0
715,20,180,0,0.573,0
716,20,180,0,0.573,0
717,20,180,0,0.573,0
718,20,180,0,0.573,0
719,20,180,0,0.573,0
720,20,180,0,0.573,0
721,20,180,0,0.573,0
722,20,180,0,0.573,0
723,20,180,0,0.573,0
724,20,180,0,0.573,0
725,20,180,0,0.573,0
726,20,180,0,0.573,0
727,20,180,0,0.573,0
728,20,180,0,0.573,0
729,20,180,0,0.573,0
730,20,180,0,0.573,0
731,20,180,0,0.573,0
732,20,180,0,0.573,0
733,20,180,0,0.573,0
734,20,180,0,0.573,0
735,20,180,0,0.573,0
736,20,180,0,0.573,0
737,20,180,0,0.573,0
738,20,180,0,0.573,0
739,20,180,0,0.573,0
740,20,180,0,0.573,0
741,20,180,0,0.573,0
742,20,180,0,0.573,0
743,20,180,0,0.573,0
744,20,180,0,0.573,0
745,20,180,0,0.573,0
746,20,180,0,0.573,0
747,20,180,0,0.573,0
748,20,180,0,0.573,0
749,20,180,0,0.573,0
750,20,180,0,0.573,0
751,20,180,0,0.573,0
752,20,180,0,0.573,0
753,20,180,0,0.573,0
754,20,180,0,0.573,0
755,20,180,0,0.573,0
756,20,180,0,0.573,0
757,20,180,0,0.573,0
758,20,180,0,0.573,0
759,20,180,0,0.573,0
760,20,180,0,0.573,0
761,20,180,0,0.573,0
762,20,180,0,0.573,0
763,20,180,0,0.573,0
764,20,180,0,0.573,0
765,20,180,0,0.573,0
766,20,180,0,0.573,0
767,20,180,0,0.573,0
768,20,180,0,0.573,0
769,20,180,0,0.573,0
770,20,180,0,0.573,0
771,20,180,0,0.573,0
772,20,180,0,0.573,0
773,20,180,0,0.573,0
774,20,180,0,0.573,0
775,20,180,0,0.573,0
776,20,180,0,0.573,0
777,20,180,0,0.573,0
778,20,180,0,0.573,0
779,20,180,0,0.573,0
780,20,180,0,0.573,0
781,20,180,0,0.573,0
782,20,180,0,0.573,0
783,20,180,0,0.573,0
784,20,180,0,0.573,0
785,20,180,0,0.573,0
786,20,180,0,0.573,0
787,20,180,0,0.573,0
788,20,180,0,0.573,0
789,20,180,0,0.573,0
790,20,180,0,0.573,0
791,20,180,0,0.573,0
792,20,180,0,0.573,0
793,20,180,0,0.573,0
794,20,180,0,0.573,0
795,20,180,0,0.573,0
796,20,180,0,0.573,0
797,20,180,0,0.573,0
798,20,180,0,0.573,0
799,20,180,0,0.573,0
800,20,180,0,0.573,0
801,20,180,0,0.573,0
802,20,180,0,0.573,0
803,20,180,0,0.573,0
804,20,180,0,0.573,0
805,20,180,0,0.573,0
806,20,180,0,0.573,0
807,20,180,0,0.573,0
808,20,180,0,0.573,0
809,20,180,0,0.573,0
810,20,180,0,0.573,0
811,20,180,0,0.573,0
812,20,180,0,0.573,0
813,20,180,0,0.573,0
814,20,180,0,0.573,0
815,20,180,0,0.573,0
816,20,180,0,0.573,0
817,20,180,0,0.573,0
818,20,180,0,0.573,0
819,20,180,0,0.573,0
820,20,180,0,0.573,0
821,20,180,0,0.573,0
822,20,180,0,0.573,0
823,20,180,0,0.573,0
824,20,180,0,0.573,0
825,20,180,0,0.573,0
826,20,180,0,0.573,0
827,20,180,0,0.573,0
828,20,180,0,0.573,0
829,20,180,0,0.573,0
