tick,tax_rate,subsidy,treasury,pop_rich,pop_poor,avg_nrg_poor
1110,0.046,18.3,-0.0,0,147,39.0
1111,0.046,18.3,0.0,0,147,39.2
1112,0.046,18.3,0.0,0,147,38.7
1113,0.046,18.3,0.0,0,147,38.3
1114,0.046,18.3,0.0,0,147,38.3
1115,0.046,18.3,0.0,0,147,38.1
1116,0.046,18.3,-0.0,0,147,38.3
1117,0.046,18.3,-0.0,0,147,38.7
1118,0.046,18.3,0.0,0,147,38.6
1119,0.046,18.3,0.0,0,147,37.8
1120,0.046,18.3,-0.0,0,147,37.0
1121,0.046,18.3,0.0,0,147,37.2
1122,0.046,18.3,-0.0,0,147,37.2
1123,0.046,18.3,-0.0,0,147,37.4
1124,0.046,18.3,0.0,0,147,37.6
1125,0.046,18.3,-0.0,0,147,37.5
1126,0.046,18.3,-0.0,0,147,38.4
1127,0.046,18.3,-0.0,0,147,37.4
1128,0.046,18.3,-0.0,0,147,36.8
1129,0.046,18.3,-0.0,0,147,36.7
1130,0.046,18.3,0.0,0,147,37.0
1131,0.046,18.3,-0.0,0,147,37.0
1132,0.046,18.3,-0.0,0,147,36.5
1133,0.046,18.3,0.0,0,147,37.2
1134,0.046,18.3,0.0,0,147,36.8
1135,0.046,18.3,0.0,0,147,36.7
1136,0.046,18.3,-0.0,0,147,36.6
1137,0.046,18.3,0.0,0,147,37.4
1138,0.046,18.3,-0.0,0,147,37.0
1139,0.046,18.3,0.0,0,147,37.3
1140,0.046,18.3,-0.0,0,147,36.7
1141,0.046,18.3,-0.0,0,147,36.4
1142,0.046,18.3,-0.0,0,147,36.4
1143,0.046,18.3,-0.0,0,147,36.8
1144,0.046,18.3,0.0,0,147,36.9
1145,0.046,18.3,0.0,0,147,36.5
1146,0.046,18.3,-0.0,0,147,36.8
1147,0.046,18.3,-0.0,0,147,36.6
1148,0.046,18.3,-0.0,0,147,36.5
1149,0.046,18.3,0.0,0,147,36.7
1150,0.046,18.3,0.0,0,147,36.9
1151,0.046,18.3,-0.0,0,147,36.9
1152,0.046,18.3,0.0,0,147,35.9
1153,0.046,18.3,0.0,0,147,35.3
1154,0.046,18.3,-0.0,0,147,35.3
1155,0.046,18.3,-0.0,0,147,35.9
1156,0.046,18.3,-0.0,0,147,35.7
1157,0.046,18.3,-0.0,0,147,35.1
1158,0.046,18.3,-0.0,0,147,36.0
1159,0.046,18.3,0.0,0,147,35.9
1160,0.046,18.3,-0.0,0,147,36.1
1161,0.046,18.3,-0.0,0,147,35.9
1162,0.046,18.3,-0.0,0,147,35.9
1163,0.046,18.3,-0.0,0,147,35.9
1164,0.046,18.3,-0.0,0,147,36.3
1165,0.046,18.3,0.0,0,147,36.2
1166,0.046,18.3,-0.0,0,147,36.2
1167,0.046,18.3,0.0,0,147,36.4
1168,0.046,18.3,0.0,0,147,36.2
1169,0.046,18.3,-0.0,0,147,36.5
1170,0.046,18.3,-0.0,0,147,36.6
1171,0.046,18.3,0.0,0,147,36.5
