tick,pop_rich,pop_poor,avg_nrg_rich,avg_nrg_poor,trades
294,200,0,537.7,0.0,0
295,200,0,534.7,0.0,0
296,200,0,531.7,0.0,0
297,200,0,528.7,0.0,0
298,200,0,525.7,0.0,0
299,200,0,522.8,0.0,0
300,200,0,519.8,0.0,0
301,200,0,516.9,0.0,0
302,200,0,514.0,0.0,0
303,200,0,511.1,0.0,0
304,200,0,508.3,0.0,0
305,200,0,505.4,0.0,0
306,200,0,502.6,0.0,0
307,200,0,499.8,0.0,0
308,200,0,497.0,0.0,0
309,200,0,494.3,0.0,0
310,200,0,491.5,0.0,0
311,200,0,488.8,0.0,0
312,200,0,486.1,0.0,0
313,200,0,483.4,0.0,0
314,200,0,480.7,0.0,0
315,200,0,478.0,0.0,0
316,200,0,475.4,0.0,0
317,200,0,472.8,0.0,0
318,200,0,470.2,0.0,0
319,200,0,467.6,0.0,0
320,200,0,465.0,0.0,0
321,200,0,462.5,0.0,0
322,200,0,460.0,0.0,0
323,200,0,457.5,0.0,0
324,200,0,455.0,0.0,0
325,200,0,452.5,0.0,0
326,200,0,450.0,0.0,0
327,200,0,447.6,0.0,0
328,200,0,445.2,0.0,0
329,200,0,442.8,0.0,0
330,200,0,440.4,0.0,0
331,200,0,438.1,0.0,0
332,200,0,435.7,0.0,0
333,200,0,433.4,0.0,0
334,200,0,431.1,0.0,0
335,200,0,428.8,0.0,0
336,200,0,426.5,0.0,0
337,200,0,424.3,0.0,0
338,200,0,422.1,0.0,0
339,200,0,419.8,0.0,0
340,200,0,417.6,0.0,0
341,200,0,415.5,0.0,0
342,200,0,413.3,0.0,0
343,200,0,411.2,0.0,0
344,200,0,409.0,0.0,0
345,200,0,406.9,0.0,0
346,200,0,404.8,0.0,0
347,200,0,402.7,0.0,0
348,200,0,400.7,0.0,0
349,200,0,398.6,0.0,0
350,200,0,396.6,0.0,0
351,200,0,394.6,0.0,0
352,200,0,392.6,0.0,0
353,200,0,390.6,0.0,0
354,200,0,388.7,0.0,0
355,200,0,386.7,0.0,0
356,200,0,384.8,0.0,0
357,200,0,382.9,0.0,0
358,200,0,381.0,0.0,0
359,200,0,379.1,0.0,0
360,200,0,377.3,0.0,0
361,200,0,375.4,0.0,0
362,200,0,373.6,0.0,0
363,200,0,371.8,0.0,0
364,200,0,369.9,0.0,0
365,200,0,368.2,0.0,0
366,200,0,366.4,0.0,0
367,200,0,364.6,0.0,0
368,200,0,362.9,0.0,0
369,200,0,361.2,0.0,0
370,200,0,359.4,0.0,0
371,200,0,357.7,0.0,0
372,200,0,356.1,0.0,0
373,200,0,354.4,0.0,0
374,200,0,352.7,0.0,0
375,200,0,351.1,0.0,0
376,200,0,349.5,0.0,0
377,200,0,347.8,0.0,0
378,200,0,346.2,0.0,0
379,200,0,344.6,0.0,0
380,200,0,343.1,0.0,0
381,200,0,341.5,0.0,0
382,200,0,340.0,0.0,0
383,200,0,338.4,0.0,0
384,200,0,336.9,0.0,0
385,200,0,335.4,0.0,0
386,200,0,333.9,0.0,0
387,200,0,332.4,0.0,0
388,200,0,330.9,0.0,0
389,200,0,329.5,0.0,0
390,200,0,328.0,0.0,0
391,200,0,326.6,0.0,0
392,200,0,325.2,0.0,0
393,200,0,323.7,0.0,0
394,200,0,322.3,0.0,0
395,200,0,320.9,0.0,0
396,200,0,319.6,0.0,0
397,200,0,318.2,0.0,0
398,200,0,316.8,0.0,0
399,200,0,315.5,0.0,0
400,200,0,314.2,0.0,0
401,200,0,312.8,0.0,0
402,200,0,311.5,0.0,0
403,200,0,310.2,0.0,0
404,200,0,308.9,0.0,0
405,200,0,307.7,0.0,0
406,200,0,306.4,0.0,0
407,200,0,305.1,0.0,0
408,200,0,303.9,0.0,0
409,200,0,302.6,0.0,0
410,200,0,301.4,0.0,0
411,200,0,300.2,0.0,0
412,200,0,299.0,0.0,0
413,200,0,297.8,0.0,0
414,200,0,296.6,0.0,0
415,200,0,295.4,0.0,0
416,200,0,294.2,0.0,0
417,200,0,293.1,0.0,0
418,200,0,291.9,0.0,0
419,200,0,290.8,0.0,0
420,200,0,289.6,0.0,0
421,200,0,288.5,0.0,0
422,200,0,287.4,0.0,0
423,200,0,286.3,0.0,0
424,200,0,285.2,0.0,0
425,200,0,284.1,0.0,0
426,200,0,283.0,0.0,0
427,200,0,281.9,0.0,0
428,200,0,280.9,0.0,0
429,200,0,279.8,0.0,0
430,200,0,278.8,0.0,0
431,200,0,277.7,0.0,0
432,200,0,276.7,0.0,0
433,200,0,275.6,0.0,0
434,200,0,274.6,0.0,0
435,200,0,273.6,0.0,0
436,200,0,272.6,0.0,0
437,200,0,271.6,0.0,0
438,200,0,270.6,0.0,0
439,200,0,269.7,0.0,0
440,200,0,268.7,0.0,0
441,200,0,267.7,0.0,0
442,200,0,266.8,0.0,0
443,200,0,265.8,0.0,0
444,200,0,264.9,0.0,0
445,200,0,263.9,0.0,0
446,200,0,263.0,0.0,0
447,200,0,262.1,0.0,0
448,200,0,261.1,0.0,0
449,200,0,260.2,0.0,0
450,200,0,259.3,0.0,0
451,200,0,258.4,0.0,0
452,200,0,257.5,0.0,0
453,200,0,256.7,0.0,0
454,200,0,255.8,0.0,0
