tick,pop,avg_dist,at_food,knowledge_spread
447,50,78.6,0,0
448,50,78.6,0,0
449,50,78.5,0,0
450,50,78.5,0,0
451,50,78.5,0,0
452,50,78.5,0,0
453,50,78.5,0,0
454,50,78.5,0,0
455,50,78.5,0,0
456,50,78.4,0,0
457,50,78.4,0,0
458,50,78.4,0,0
459,50,78.4,0,0
460,50,78.4,0,0
461,50,78.4,0,0
462,50,78.4,0,0
463,50,78.3,0,0
464,50,78.3,0,0
465,50,78.3,0,0
466,50,78.3,0,0
467,50,78.3,0,0
468,50,78.3,0,0
469,50,78.3,0,0
470,50,78.2,0,0
471,50,78.2,0,0
472,50,78.2,0,0
473,50,78.2,0,0
474,50,78.2,0,0
475,50,78.2,0,0
476,50,78.2,0,0
477,50,78.1,0,0
478,50,78.1,0,0
479,50,78.1,0,0
480,50,78.1,0,0
481,50,78.1,0,0
482,50,78.1,0,0
483,50,78.1,0,0
484,50,78.0,0,0
485,50,78.0,0,0
486,50,78.0,0,0
487,50,78.0,0,0
488,50,78.0,0,0
489,50,78.0,0,0
490,50,78.0,0,0
491,50,77.9,0,0
492,50,77.9,0,0
493,50,77.9,0,0
