tick,season_factor,prey_pop,pred_pop,avg_prey_energy,avg_efficiency
941,0.77,95,5,864.3,0.4403
942,0.74,95,5,866.4,0.4403
943,0.71,95,5,873.0,0.4404
944,0.68,95,5,874.2,0.4404
945,0.65,95,5,875.2,0.4404
946,0.62,95,5,880.7,0.4415
947,0.59,95,5,880.6,0.4415
948,0.56,95,5,880.1,0.4415
949,0.53,95,5,879.4,0.4415
950,0.50,95,5,878.2,0.4415
951,0.47,95,5,876.8,0.4415
952,0.44,95,5,875.2,0.4415
953,0.41,95,5,873.2,0.4415
954,0.38,95,5,870.8,0.4415
955,0.35,95,5,868.3,0.4415
956,0.32,95,5,866.0,0.4415
957,0.29,95,5,863.3,0.4415
958,0.26,95,5,860.3,0.4415
959,0.23,95,5,857.3,0.4415
960,0.21,95,5,853.8,0.4415
961,0.18,95,5,850.2,0.4415
962,0.16,95,5,846.3,0.4415
963,0.14,95,5,847.2,0.4388
964,0.11,95,5,842.7,0.4388
965,0.10,95,5,838.1,0.4388
966,0.08,95,5,833.3,0.4388
967,0.06,95,5,828.3,0.4388
968,0.05,95,5,823.4,0.4388
969,0.04,95,5,818.4,0.4388
970,0.02,95,5,813.4,0.4388
971,0.02,95,5,808.3,0.4388
972,0.01,95,5,808.2,0.4379
973,0.00,95,5,802.9,0.4379
974,0.00,95,5,797.7,0.4379
975,0.00,95,5,792.4,0.4379
976,0.00,95,5,787.4,0.4379
977,0.00,95,5,782.3,0.4379
978,0.01,95,5,777.3,0.4379
979,0.02,95,5,772.3,0.4379
980,0.02,95,5,767.6,0.4379
981,0.04,95,5,762.9,0.4379
982,0.05,95,5,758.5,0.4379
983,0.06,95,5,754.0,0.4379
984,0.08,95,5,749.7,0.4379
985,0.10,95,5,745.8,0.4379
986,0.11,95,5,742.0,0.4379
987,0.14,95,5,738.5,0.4379
988,0.16,95,5,735.2,0.4379
989,0.18,95,5,732.0,0.4379
990,0.21,95,5,729.3,0.4379
991,0.23,95,5,731.7,0.4358
992,0.26,95,5,729.5,0.4358
993,0.29,95,5,727.3,0.4358
994,0.32,95,5,725.7,0.4358
995,0.35,95,5,724.4,0.4358
996,0.38,95,5,723.3,0.4358
997,0.41,95,5,727.6,0.4362
998,0.44,95,5,726.9,0.4362
999,0.47,95,5,726.6,0.4362
1000,0.50,95,5,726.6,0.4362
