tick,lord_energy,peasant_count,wolf_count,knights_active
468,1604.0,6,1,5
469,1591.0,6,1,5
470,1578.0,6,1,5
471,1565.0,6,1,5
472,1552.0,6,1,5
473,1539.0,6,1,5
474,1526.0,6,1,5
475,1513.0,6,1,5
476,1500.0,6,1,5
477,1487.0,6,1,5
478,1474.0,6,1,5
479,1461.0,6,1,5
480,1448.0,6,1,5
481,1435.0,6,1,5
482,1422.0,6,1,5
483,1409.0,6,1,5
484,1396.0,6,1,5
485,1383.0,6,1,5
486,1370.0,6,1,5
487,1357.0,6,1,5
488,1344.0,6,1,5
489,1331.0,6,1,5
490,1318.0,6,1,5
491,1305.0,6,1,5
492,1292.0,6,1,5
493,1279.0,6,0,5
494,1266.0,6,0,5
495,1253.0,6,0,5
496,1240.0,6,0,5
497,1227.0,6,0,5
498,1214.0,6,0,5
499,1201.0,6,0,5
500,1188.0,6,1,5
