tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_prey_eff
631,194,50,0.8323,0.5021,0.7484
632,200,50,0.8328,0.5021,0.7485
633,198,50,0.8346,0.5021,0.7478
634,198,50,0.8345,0.5021,0.7488
635,198,50,0.8340,0.5021,0.7478
636,194,50,0.8349,0.5021,0.7436
637,195,50,0.8311,0.5021,0.7447
638,195,50,0.8315,0.5021,0.7400
639,198,50,0.8299,0.5021,0.7387
640,199,50,0.8289,0.5021,0.7399
641,199,50,0.8275,0.5021,0.7403
642,199,50,0.8263,0.5021,0.7405
643,196,50,0.8264,0.5021,0.7381
644,194,50,0.8286,0.5021,0.7365
645,197,50,0.8270,0.5021,0.7337
646,196,50,0.8267,0.5021,0.7334
647,195,50,0.8270,0.5021,0.7316
648,189,50,0.8325,0.5021,0.7399
649,189,50,0.8398,0.5021,0.7400
650,197,50,0.8453,0.5021,0.7404
651,197,50,0.8435,0.5021,0.7392
652,199,50,0.8422,0.5021,0.7403
653,196,50,0.8411,0.5021,0.7407
654,197,50,0.8420,0.5021,0.7351
655,194,50,0.8453,0.5021,0.7353
656,196,50,0.8452,0.5021,0.7408
