tick,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
500,20,20,369.5751330120874,376.74237128398164
501,20,19,368.5062016314191,374.9026587975044
502,20,19,368.539982362852,374.7857224527232
503,20,19,368.7097144339402,374.72542052400905
504,20,19,366.94466057900644,374.12047697654964
505,20,19,368.074723428275,374.97575536719285
506,20,19,369.00297712682004,374.09496889594317
507,20,19,368.50589245206686,373.1274183679681
508,20,19,366.97753609400246,373.1950803156644
509,20,20,369.4942883409497,375.7201294817635
510,20,19,369.0620411254419,373.0986939220324
511,20,19,366.189165872608,373.73374312930235
512,20,19,368.72420724067126,375.2396358142218
513,20,19,367.5492794239039,375.0587224219068
514,20,19,368.8304695034414,373.97215979187763
515,20,19,367.3276402860357,375.53052163904385
516,20,20,366.0403462818998,375.21861666345956
517,20,20,366.75877808570357,374.6482073020685
518,20,20,366.0437458134304,373.9638512507603
519,20,20,366.8180342049536,374.2030361111147
520,20,20,368.4156985338478,373.5967452919352
521,20,20,366.0349467374749,372.8569241153999
522,20,20,366.80748183346407,373.50359875754197
523,20,19,365.550564444678,373.2152488691222
524,20,19,365.9195346418994,374.10613624252727
525,20,20,364.85713255553384,373.4631354248256
526,20,20,363.5954323971177,372.90581541590564
527,20,20,363.6162289368706,371.9897188306719
528,20,20,364.70388280436805,371.6187586965857
529,20,20,365.0367033872763,373.0046758261337
530,20,20,365.65035765913575,373.0476165062032
531,20,20,366.9044452670994,373.35202317428855
532,20,20,366.1765904879232,373.1325256915295
533,20,19,364.899525149312,370.021321981564
534,20,20,365.0253215048216,372.1969716552462
535,20,20,363.13012622438106,371.3773784990592
536,20,20,361.4992007112706,371.5153957780075
537,20,19,364.0210621936526,371.09806503980474
538,20,19,364.99282321484685,371.3594223026248
539,20,19,362.65031963083356,371.9361726591804
540,20,19,363.6520927789047,370.51359091456055
541,20,19,365.38044224111485,371.27158462720104
542,20,19,364.10072504564005,372.123084402798
543,20,19,364.32113865281383,370.40817343196295
544,20,20,365.7058831137105,369.95405513642083
545,20,20,364.22780007372717,369.8220775062585
546,20,20,363.2030018579326,371.54102687000193
547,20,20,363.2143798785922,371.1403573714524
548,20,20,363.98829880263867,369.9641583160672
549,20,20,363.98673766084113,372.0592483131647
550,20,20,363.0389276452642,370.70191586552164
551,20,20,364.05702961254127,370.0540774468882
552,20,20,362.9222064231393,369.49747279557783
553,20,20,362.5322415815459,371.7883363058042
554,20,20,363.20056614866917,369.6584565695657
555,20,19,363.1730891669003,367.9908130500693
556,20,19,362.8927544763899,370.5571022973464
557,20,20,362.2263037926528,368.7546519223793
558,20,20,364.239232966778,369.6862773999392
