tick,pop_boss,pop_worker,avg_nrg_boss,avg_nrg_worker,contracts
740,20,180,3435.0,113.3,180
741,20,180,3429.8,113.1,180
742,20,180,3424.6,112.9,180
743,20,180,3419.4,112.8,180
744,20,180,3414.3,112.6,180
745,20,180,3409.1,112.4,180
746,20,180,3404.0,112.3,180
747,20,180,3398.9,112.1,180
748,20,180,3393.8,111.9,180
749,20,180,3388.7,111.7,180
750,20,180,3383.7,111.6,180
751,20,180,3378.6,111.4,180
752,20,180,3373.6,111.2,180
753,20,180,3368.6,111.1,180
754,20,180,3363.6,110.9,180
755,20,180,3358.6,110.7,180
756,20,180,3353.6,110.6,180
757,20,180,3348.6,110.4,180
758,20,180,3343.7,110.2,180
759,20,180,3338.8,110.1,180
760,20,180,3333.8,109.9,180
761,20,180,3328.9,109.8,180
762,20,180,3324.0,109.6,180
763,20,180,3319.2,109.4,180
764,20,180,3314.3,109.3,180
765,20,180,3309.4,109.1,180
766,20,180,3304.6,108.9,180
767,20,180,3299.8,108.8,180
768,20,180,3294.9,108.6,180
769,20,180,3290.1,108.5,180
770,20,180,3285.4,108.3,180
771,20,180,3280.6,108.1,180
772,20,180,3275.8,108.0,180
773,20,180,3271.1,107.8,180
774,20,180,3266.3,107.7,180
775,20,180,3261.6,107.5,180
776,20,180,3256.9,107.4,180
777,20,180,3252.2,107.2,180
778,20,180,3247.5,107.0,180
779,20,180,3242.9,106.9,180
780,20,180,3238.2,106.7,180
781,20,180,3233.5,106.6,180
782,20,180,3228.9,106.4,180
783,20,180,3224.3,106.3,180
784,20,180,3219.7,106.1,180
785,20,180,3215.1,106.0,180
786,20,180,3210.5,105.8,180
787,20,180,3205.9,105.7,180
788,20,180,3201.4,105.5,180
789,20,180,3196.8,105.4,180
790,20,180,3192.3,105.2,180
791,20,180,3187.8,105.1,180
792,20,180,3183.3,104.9,180
793,20,180,3178.8,104.8,180
794,20,180,3174.3,104.6,180
795,20,180,3169.8,104.5,180
796,20,180,3165.3,104.3,180
797,20,180,3160.9,104.2,180
798,20,180,3156.4,104.0,180
799,20,180,3152.0,103.9,180
800,20,180,3147.6,103.7,180
801,20,180,3143.2,103.6,180
802,20,180,3138.8,103.4,180
803,20,180,3134.4,103.3,180
804,20,180,3130.0,103.1,180
805,20,180,3125.7,103.0,180
806,20,180,3121.3,102.8,180
807,20,180,3117.0,102.7,180
808,20,180,3112.7,102.6,180
809,20,180,3108.4,102.4,180
810,20,180,3104.1,102.3,180
811,20,180,3099.8,102.1,180
812,20,180,3095.5,102.0,180
