tick,pop_ancient,pop_primitive,avg_nrg_ancient,avg_nrg_prim
954,188,11,591.6,604.7
955,189,11,583.9,598.8
956,189,11,590.4,538.5
957,189,11,585.3,666.6
958,189,11,552.5,611.2
959,189,11,579.9,561.1
960,189,11,578.2,647.1
961,189,11,564.8,592.2
962,189,11,575.6,588.1
963,189,11,564.2,542.9
964,189,11,576.7,583.0
965,189,11,555.4,577.7
966,189,11,566.7,572.6
967,189,11,586.2,517.5
968,189,11,580.1,559.0
969,189,11,534.5,464.0
970,189,11,573.8,519.0
971,189,11,596.4,480.4
972,189,11,577.0,530.5
973,189,11,556.7,528.9
974,189,11,582.6,526.8
975,188,11,602.3,571.7
976,189,11,574.5,524.8
977,189,11,583.1,481.7
978,189,11,597.1,451.0
979,189,11,587.6,507.3
980,189,11,564.1,428.7
981,189,11,583.2,487.8
982,189,10,589.2,632.6
983,190,10,576.6,528.2
984,190,10,578.4,484.2
985,190,10,578.9,438.3
986,189,10,608.0,595.0
987,190,10,585.0,502.2
988,190,10,575.5,562.5
989,190,10,574.7,699.5
990,190,10,590.6,598.0
991,190,10,591.7,650.9
992,190,10,585.7,596.6
993,190,10,583.0,557.1
994,190,10,582.7,524.4
995,190,10,588.3,582.2
996,190,10,553.7,632.0
997,190,10,575.8,625.3
998,190,10,594.1,528.8
999,190,10,580.6,496.1
1000,190,10,569.4,509.1
