tick,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
465,17,22,352.31317815112055,378.52582929001954
466,17,22,352.8809582049775,377.2992675332867
467,17,22,352.229014573905,377.2586794879782
468,17,22,351.84903523919274,376.20469711685365
469,17,22,352.16641867633655,377.015673861483
470,17,22,351.7255707324022,377.11271102213607
471,17,22,351.13716252705296,376.65586367886476
472,17,22,349.71152370035367,376.7570157821494
473,17,22,353.41045915878635,378.3530980043733
474,17,22,351.826000109506,376.6601477669632
475,17,22,350.40286974790183,374.8773028249
476,17,22,350.6629622849004,376.5542825665192
477,17,22,351.8596378619246,376.4121646890272
478,17,21,351.4164185624759,374.8820793962162
479,17,21,351.5260105851795,376.58517969484427
480,17,21,350.8185339098835,375.7231237517381
481,17,21,349.4359653095815,375.0914964011166
482,17,21,349.3662498133495,376.7279786667144
483,16,21,349.8610687125029,375.9432454470718
484,16,21,350.1601891043155,377.90144709948873
485,16,21,349.9057826941648,377.20697455919566
486,16,21,350.5339536855099,376.61213485886276
487,16,21,347.3702002662217,375.77463718337316
488,16,21,350.54300789729,375.5304529456542
489,16,21,348.8794732404602,376.32491389462547
490,16,21,346.45736177856145,376.21312532941585
491,17,21,348.24583541827144,375.1461047121664
492,17,21,348.17029720414183,375.8482960576957
493,17,21,346.2105415883127,376.61252175259693
494,16,21,347.16379449414524,376.1598466372726
495,16,21,347.8182351333636,373.4807806558621
496,16,20,346.80403887783723,374.4509563454977
497,16,20,348.47067433847275,374.73034763530694
498,16,20,346.7345351080087,374.090043080161
499,16,20,348.16591168083784,375.0890176282563
500,16,20,349.87353082740736,374.6699159442043
501,16,20,347.2744528132059,374.9322076944244
502,16,20,348.1909104160532,374.639165670177
503,16,20,347.1284078655045,374.9467565832497
504,16,20,349.5727349571826,374.5174509393682
505,16,20,347.3089892932867,374.5955539431174
506,16,20,348.3286602487822,374.90571589672624
507,16,20,348.66081071889005,375.37841422547507
508,16,20,347.9880540958483,372.7514495876899
509,16,20,348.2323170289955,374.27235513314787
510,16,20,347.84365340047407,374.880692789125
511,16,20,346.1700701163155,373.38365209816766
512,16,20,344.78629477740105,374.2748384496721
513,16,20,345.9431140782221,373.20099080145883
514,16,20,346.2686383506288,374.41575116017356
515,16,20,344.59473429843865,374.2918561594307
516,16,20,344.482245724251,374.4853817262772
517,16,20,344.66242497396405,374.8634167643335
518,16,20,344.18606002381847,375.0234042421853
519,16,20,345.035931014172,374.8185971125881
520,16,20,343.694309655485,375.3768402462194
521,16,20,345.9988681377709,375.626395479293
522,16,20,343.7653252439932,374.1434837937716
523,16,20,345.07632257772485,374.38362313633274
524,16,20,344.98089012437055,373.0950569732164
525,16,20,346.4946757059094,374.1715644976442
526,16,20,345.2662632829285,374.0746224174998
527,16,20,346.65806917509724,373.436387009698
528,16,20,345.7183760447038,373.84135997724894
529,16,20,343.50316283171935,374.3963920306944
530,16,20,346.6187255427375,372.7472245195935
531,16,20,346.84038820789056,372.4234902728596
532,16,20,346.44668349611555,372.55763922388417
533,16,20,345.85669736997454,372.5832974807556
534,16,20,344.2503280162616,371.1104760486072
535,16,20,347.2260550854292,372.61357345729516
536,16,20,344.1343602348665,372.33708735191
537,16,20,344.9389796749065,372.23435451563057
538,16,20,346.9869448989583,370.751114604948
539,16,20,344.5674981613495,371.97150898213584
540,16,20,346.35164947572474,370.75055754372795
541,16,20,344.9910724675299,371.51576121527665
542,16,20,344.7162340507277,371.0334613806642
543,16,20,344.9294664059823,371.7830479025974
544,16,20,344.2728533231556,371.1900636895424
545,16,20,345.74889421742444,372.2508881093926
546,16,20,343.6415190770032,371.7560199399691
547,16,20,342.24681381797495,370.96464742328055
548,16,20,343.26408799082805,370.2459312908695
549,16,20,344.5924660209312,371.70754310738323
550,16,20,344.19786564033416,372.8910070676097
551,16,20,343.42976019106203,370.4931220147236
552,16,20,344.4430518041858,371.26869947592826
553,16,20,343.5946819299548,371.8336209370235
554,16,20,342.50185918916173,370.8181729678612
555,16,20,344.1298992220638,371.54598671504624
556,16,20,343.3737121143805,370.065082902563
557,16,20,342.9983036613458,369.6979781957331
558,16,20,344.33006258573874,369.86580801712165
559,16,20,342.1082154619224,370.1505757081993
560,16,20,342.71345436897724,368.6594781009942
561,16,20,341.8529763173707,371.17216057748254
562,16,20,341.89883353487795,370.44640740524477
563,16,20,343.36210819638984,369.98617808646304
564,16,20,342.1279156543031,369.15764517935946
565,16,20,340.58045631542944,369.4054543985109
566,16,20,341.126679671447,371.00290160108216
567,16,20,341.9316643019838,368.8966516185503
568,16,20,342.7050901621024,368.4955323167332
569,16,20,341.13583348103094,368.67567238021695
570,16,20,341.5211842361534,368.8304454281345
571,16,20,342.61597449412096,368.4828052757585
572,16,20,341.3127036896581,367.264245108666
573,16,20,340.6647586310706,367.08666780617153
574,16,20,341.86390972258164,366.60185806758284
575,16,20,339.26980675578864,367.6170750537042
576,16,20,339.0955329421707,368.61202866257565
577,16,20,340.41144032414354,368.20574444493127
578,16,20,341.7294077127652,368.61026773756043
579,16,20,340.71367024449,368.26431779327993
580,16,20,342.48967622648473,368.26486479137264
581,16,20,341.06654216385544,366.48187165324947
582,16,20,341.2126591518122,368.1705116933756
583,16,20,341.8527856592166,366.7677563674299
584,16,20,343.29798109150437,367.110032238434
585,16,20,340.40861330718036,369.38645988886157
586,16,20,339.7832410581987,368.6272667870255
587,16,20,339.91352626671437,366.7900348059375
588,16,20,341.53713463404404,366.3231502414033
589,16,20,339.15780351845973,366.94038547916455
590,16,20,338.95475857175694,366.3667958655312
591,16,20,339.5387790275477,364.04566725009437
592,16,20,338.69391925845,365.913277323877
593,16,20,338.83324004917074,366.63524743729954
594,16,20,337.8446751640259,365.53077022670993
595,16,19,340.1799084886044,364.95933933680294
