tick,old_money,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
310,10,25,18,604.1955499433496,334.3996732258653
311,10,25,18,599.3266550075149,334.5759793058713
312,10,25,18,612.4760580650807,335.33366935541903
313,10,24,17,605.5311593264062,334.90774265437193
314,10,24,18,599.117625030649,334.74309669354153
315,10,25,18,612.2323853777688,334.8174618052756
316,10,25,19,607.252278086994,333.73350446481055
317,10,25,15,602.2915000287353,335.28662702091754
318,10,25,18,597.8501274733653,335.7156008882768
319,10,25,20,610.9250450448981,335.46942379962996
320,10,25,21,605.9043261414234,333.9095146830257
321,10,25,20,600.9036217524083,334.861131613723
322,10,25,19,595.9230038131356,335.4860542087128
323,10,25,18,590.9625425933156,334.22107842556727
324,10,25,19,586.5223067021236,334.635326372375
325,10,25,20,581.5991130933726,333.3062463744738
326,10,25,16,576.6962882608166,333.0121815308784
327,10,25,17,571.8138959204036,332.9377053807882
328,10,25,19,566.9519981479785,333.37652893481726
329,10,25,18,562.6106553849776,334.84827985115606
330,10,25,19,557.7866264442496,333.000294334382
331,10,25,19,553.4832803620014,334.0621106752724
332,10,25,18,548.6973527652106,333.2010337117421
333,10,25,20,544.432229780607,333.5857873048992
334,10,25,18,539.6846238704853,333.19395318790396
335,10,25,16,552.9579382753659,332.6402265842665
336,10,25,16,548.1312623149682,332.4988989644879
337,10,25,19,543.3260589917782,333.43062991122457
338,10,25,19,539.0423762178065,334.3241778660289
339,10,25,18,534.2768702918626,332.7628674760712
340,10,25,18,529.5329889586907,333.93664511089656
341,10,25,17,525.3107753588051,333.8070028717497
342,10,25,18,520.6068510401637,333.8323321289173
343,10,25,19,515.9246894268409,333.8263548929423
344,10,25,18,511.2643289483971,333.10280306903957
345,10,25,17,506.62580646346595,332.7909476861374
346,10,25,19,502.50915726755153,332.99585567509945
347,10,25,20,497.9109451009275,333.3169759933852
348,10,25,18,511.33468630783784,333.1302499806296
349,10,25,18,506.65477158222194,332.3602922806152
350,10,25,20,502.49738956595917,332.8087144984823
351,10,25,17,497.8590592760189,333.02333888421987
352,10,25,19,493.2433328835285,333.23605694752763
353,10,25,18,489.15023633818356,332.4832752978169
354,10,25,18,484.576254049722,332.7315734830158
355,10,25,19,480.0249640307818,332.1275793269987
356,10,25,18,475.4963876716954,332.3865910854244
357,10,25,18,488.9905448485323,332.0235760139422
358,10,25,19,484.3785739322296,331.7300638329366
359,10,25,20,479.78993715620896,334.069812842591
360,10,25,19,493.22465099349705,332.6436975589359
361,10,24,18,486.5527703981368,333.03718093335374
362,10,25,18,499.91932972526706,331.3457094865355
363,10,25,16,495.6791167762744,331.5249438490431
364,10,25,18,526.9597741909558,332.9017973370671
365,10,25,18,522.0021692241747,332.44215949223843
366,10,25,17,517.0703147302665,332.94050300396844
367,10,25,17,530.1642200049591,331.83816835247046
368,10,25,17,543.1514127305354,333.195219775692
369,10,25,17,556.5321566893969,332.2598077469923
370,10,25,18,551.3030201147081,332.58115055913106
371,10,25,17,546.1015530902698,331.2857395747623
372,10,25,16,540.9277589200909,332.669066138018
373,10,25,16,535.7816392233599,332.5341268149639
374,10,25,17,530.6631939467819,331.3550187346986
375,10,25,15,526.0724213769938,330.2518305897153
376,10,25,16,557.5055581530517,330.86720900294546
377,10,25,17,552.1911676293904,330.1438695965346
378,10,25,18,546.905803786925,333.02408214571676
