tick,pop_republic,pop_empire,nukes_built,battles
261,50,150,0,14
262,50,150,0,136
263,50,150,0,12
264,50,150,0,138
265,50,150,0,8
266,50,150,0,141
267,50,150,0,4
268,50,150,0,146
269,50,150,0,4
270,50,150,0,145
271,50,150,0,3
272,50,150,0,140
273,50,150,0,9
274,50,150,0,138
275,50,150,0,12
276,50,150,0,59
277,50,150,0,91
278,50,150,0,47
279,50,150,0,103
280,50,150,0,47
281,50,150,0,103
282,50,150,0,24
283,50,150,0,125
284,50,150,0,4
285,50,150,0,139
286,50,150,0,10
287,50,150,0,115
288,50,150,0,35
289,50,150,0,55
290,50,150,0,95
291,50,150,0,39
292,50,150,0,110
293,50,150,0,38
294,50,150,0,112
295,50,150,0,21
296,50,150,0,115
297,50,150,0,16
298,50,150,0,60
299,50,150,0,90
300,50,150,0,51
301,50,150,0,98
302,50,150,0,38
303,50,150,0,107
304,50,150,0,36
305,50,150,0,104
306,50,150,0,35
307,50,150,0,37
308,50,150,0,101
309,50,150,0,42
310,50,150,0,100
311,50,150,0,49
312,50,150,0,89
313,50,150,0,44
314,50,150,0,28
315,50,150,0,120
316,50,150,0,25
317,50,150,0,114
318,50,150,0,29
319,50,150,0,87
320,50,150,0,46
321,50,150,0,81
322,50,150,0,66
323,50,150,0,26
324,50,150,0,106
325,50,150,0,28
326,50,150,0,76
327,50,150,0,65
328,50,150,0,26
329,50,150,0,119
330,50,150,0,23
331,50,150,0,106
332,50,150,0,26
333,50,150,0,28
334,50,150,0,117
335,50,150,0,21
336,50,150,0,106
337,49,150,0,29
338,50,150,0,37
339,50,150,0,116
340,50,150,0,22
341,50,150,0,102
342,50,150,0,41
343,50,150,0,88
344,50,150,0,47
345,50,150,0,25
346,50,150,0,109
347,50,150,0,37
348,50,150,0,82
349,50,150,0,36
350,50,150,0,36
351,50,150,0,109
352,50,150,0,31
353,50,150,0,38
354,50,150,0,85
355,50,150,0,34
356,50,150,0,109
357,50,150,0,32
358,50,150,0,35
359,50,150,0,86
360,50,150,0,37
361,50,150,0,87
362,50,150,0,46
363,50,150,0,42
364,50,150,0,83
365,50,150,0,27
366,50,150,0,45
367,50,150,0,103
368,50,150,0,38
369,50,150,0,70
370,50,150,0,44
371,50,150,0,39
372,50,150,0,84
373,50,150,0,27
374,50,150,0,39
375,50,150,0,85
376,50,150,0,49
377,50,150,0,78
378,50,150,0,45
379,50,150,0,41
380,50,150,0,66
381,50,150,0,44
382,50,150,0,43
383,50,150,0,84
384,50,150,0,46
385,50,150,0,28
386,50,150,0,89
387,50,150,0,35
388,50,150,0,79
389,50,150,0,40
390,50,150,0,31
391,50,150,0,80
392,50,150,0,42
393,50,150,0,35
394,50,150,0,106
395,50,150,0,25
396,50,150,0,19
397,50,150,0,106
398,50,150,0,27
