tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_pred_mut
423,198,50,0.6037,0.5070,0.8314
424,195,50,0.6005,0.5070,0.8314
425,197,50,0.5969,0.5070,0.8314
426,191,50,0.5938,0.5070,0.8314
427,197,50,0.5998,0.5070,0.8314
428,193,50,0.5975,0.5070,0.8314
429,195,50,0.5907,0.5070,0.8314
430,194,50,0.5903,0.5070,0.8314
431,196,50,0.5938,0.5070,0.8314
432,198,50,0.5936,0.5070,0.8314
433,194,50,0.5984,0.5070,0.8314
434,194,50,0.5969,0.5070,0.8314
435,198,50,0.5952,0.5070,0.8314
436,194,50,0.5986,0.5070,0.8314
437,196,50,0.6008,0.5070,0.8314
438,195,50,0.6036,0.5070,0.8314
439,194,50,0.5975,0.5070,0.8314
440,198,50,0.5957,0.5070,0.8314
441,192,50,0.5996,0.5070,0.8314
442,195,50,0.5933,0.5070,0.8314
443,193,50,0.5976,0.5070,0.8314
444,194,50,0.5924,0.5070,0.8314
445,197,50,0.5975,0.5070,0.8314
446,194,50,0.5989,0.5070,0.8314
447,196,50,0.5951,0.5070,0.8314
448,190,50,0.5923,0.5070,0.8314
449,196,50,0.5924,0.5070,0.8314
450,196,50,0.5932,0.5070,0.8314
451,193,50,0.5932,0.5070,0.8314
452,197,50,0.5947,0.5070,0.8314
453,195,50,0.5956,0.5070,0.8314
454,191,50,0.5910,0.5070,0.8314
455,197,50,0.5887,0.5070,0.8314
456,192,50,0.5857,0.5070,0.8314
457,197,50,0.5841,0.5070,0.8314
458,193,50,0.5867,0.5070,0.8314
459,197,50,0.5923,0.5070,0.8314
460,195,50,0.5928,0.5070,0.8314
461,196,50,0.5869,0.5070,0.8314
462,197,50,0.5869,0.5070,0.8314
463,194,50,0.5864,0.5070,0.8314
464,194,50,0.5893,0.5070,0.8314
465,196,50,0.5874,0.5070,0.8314
466,197,50,0.5876,0.5070,0.8314
467,193,50,0.5842,0.5070,0.8314
468,196,50,0.5779,0.5070,0.8314
469,196,50,0.5813,0.5070,0.8314
470,194,50,0.5853,0.5070,0.8314
471,196,50,0.5858,0.5070,0.8314
472,196,50,0.5872,0.5070,0.8314
473,194,50,0.5874,0.5070,0.8314
474,196,50,0.5791,0.5070,0.8314
475,194,50,0.5804,0.5070,0.8314
476,197,50,0.5809,0.5070,0.8314
477,194,50,0.5760,0.5070,0.8314
478,194,50,0.5768,0.5070,0.8314
479,197,50,0.5801,0.5070,0.8314
480,192,50,0.5755,0.5070,0.8314
481,196,50,0.5768,0.5070,0.8314
482,196,50,0.5706,0.5070,0.8314
483,194,50,0.5685,0.5070,0.8314
484,191,50,0.5695,0.5070,0.8314
485,194,50,0.5689,0.5070,0.8314
486,193,50,0.5688,0.5070,0.8314
487,192,50,0.5725,0.5070,0.8314
488,193,50,0.5745,0.5070,0.8314
489,199,50,0.5722,0.5070,0.8314
490,197,50,0.5715,0.5070,0.8314
491,194,50,0.5734,0.5070,0.8314
492,196,50,0.5710,0.5070,0.8314
493,193,50,0.5778,0.5070,0.8314
494,192,50,0.5757,0.5070,0.8314
495,193,50,0.5781,0.5070,0.8314
496,194,50,0.5807,0.5070,0.8314
497,195,50,0.5833,0.5070,0.8314
498,195,50,0.5820,0.5070,0.8314
