Experimental_Cycle,Composition_Frequency_Pct,Random_Seed,Composition_Threshold,Maximum_Agent_Count,Initial_Agent_Count,Mean_Composition_Events,Bistable_Basin_Classification,Spawn_Accuracy_Percent,actual_freq_pct,actual_spawns,agent_count_mean,agent_count_std,avg_agent_count,avg_cycle_time_ms,avg_cycles_per_sec,basin_classifications,basin_threshold,composition_mean,cycles,cycles_completed,cycles_per_sec,cycles_per_second,database_condition,decomposition_mean,dist_A,dist_B,diversity,dominant,dominant_fraction,duration,elapsed_seconds,expected_spawns,fft_analysis,fft_peak_count_agents,fft_peak_count_composition,fft_peak_count_decomposition,fft_top_freqs_agents,fft_top_freqs_composition,fft_top_freqs_decomposition,fft_top_powers_agents,fft_top_powers_composition,fft_top_powers_decomposition,final_agent_count,final_agents,final_db_size_mb,final_memory_mb,fraction,initial_db_size_mb,initial_memory_mb,max_composition_events,memory_increase_mb,mult,peak_agents,protocol,runtime,spawn_count,spawn_freq_pct,spawn_interval_cycles,spawning_freq,spread
137,,456,700,,,,B,,,,,,,,,,,,,,1701.5291692658113,,loaded,,7.624776093586879,7.430351537335296,0.03,"[1.847412, 2.142141, 1.598698]",,1.7631199359893799,,,,,,,,,,,,,,,101.0,,0.2,100.84375,,,,0.3,,,,,,,,0.1
138,,42,700,,,,B,,,,,,,,,,,,,,1728.519800845872,,,,7.624868571766073,7.43044361415905,0.03,"[1.847344, 2.142082, 1.598663]",,1.7355890274047852,,,,,,,,,,,,,,0,,,0.2,,,,,,,NO_SPAWN,,,,,,
138,,123,700,,,,B,,,,,,,,,,,,,,1731.5325525717767,,,,7.625369819061106,7.430942698076536,0.03,"[1.846975, 2.141763, 1.598473]",,1.7325692176818848,,,,,,,,,,,,,,0,,,0.2,,,,,,,NO_SPAWN,,,,,,
138,,456,700,,,,B,,,,,,,,,,,,,,1710.1345787335401,,,,7.624776093586879,7.430351537335296,0.03,"[1.847412, 2.142141, 1.598698]",,1.7542479038238525,,,,,,,,,,,,,,0,,,0.2,,,,,,,NO_SPAWN,,,,,,
138,,789,700,,,,B,,,,,,,,,,,,,,1745.986893975408,,,,7.625006137572678,7.43058057976589,0.03,"[1.847243, 2.141994, 1.598611]",,1.7182259559631348,,,,,,,,,,,,,,0,,,0.2,,,,,,,NO_SPAWN,,,,,,
138,,1024,700,,,,B,,,,,,,,,,,,,,1720.1292067623983,,,,7.624733851552722,7.4303094789503215,0.03,"[1.847443, 2.142168, 1.598714]",,1.7440550327301025,,,,,,,,,,,,,,0,,,0.2,,,,,,,NO_SPAWN,,,,,,
138,,42,700,15,,,A,,,,,,,,,,,,,,108.57379134772228,,,,0.34475567282062264,0.3947954530044644,0.03,"[6.264336, 6.260026, 5.940233]",,27.630977630615234,,,,,,,,,,,,,,2,,,1.0,,,,,,,CONT_SPAWN,,,,,,
138,,123,700,15,,,A,,,,,,,,,,,,,,108.44000409460185,,,,0.34475567282062264,0.3947954530044644,0.03,"[6.264336, 6.260026, 5.940233]",,27.665067195892334,,,,,,,,,,,,,,2,,,1.0,,,,,,,CONT_SPAWN,,,,,,
138,,456,700,15,,,A,,,,,,,,,,,,,,108.45095053186846,,,,0.34475567282062264,0.3947954530044644,0.03,"[6.264336, 6.260026, 5.940233]",,27.662274837493896,,,,,,,,,,,,,,2,,,1.0,,,,,,,CONT_SPAWN,,,,,,
138,,789,700,15,,,A,,,,,,,,,,,,,,108.24095798021011,,,,0.34475567282062264,0.3947954530044644,0.03,"[6.264336, 6.260026, 5.940233]",,27.715940952301025,,,,,,,,,,,,,,2,,,1.0,,,,,,,CONT_SPAWN,,,,,,
